"","Chamber","LLO","Time","Temp","Tank","residuals"
"1","Tank_1",23.486058033585,"20","15",1,-0.0107640779235449
"3","Tank_3",20.8078411099274,"20","15",1,-0.0633471847048055
"4","Tank_5",28.036834986,"20","15",1,0.0661547779501921
"5","Tank_6",25.3224954253112,"20","15",1,0.0219322937435109
"6","Tank_7",24.0784569680784,"20","15",1,5.44447613868293e-05
"7","Tank_8",24.2183176220737,"20","15",1,0.0025697630439161
"9","Tank_2",23.636870970801,"20","15",2,0.016156512939675
"10","Tank_3",18.7813316372405,"20","15",2,-0.083707090089848
"11","Tank_4",22.481450776998,"20","15",2,-0.00560913776401972
"12","Tank_5",25.3082838476475,"20","15",2,0.0458292251541672
"14","Tank_7",23.0187893534616,"20","15",2,0.00464900714517813
"15","Tank_8",23.0948389076257,"20","15",2,0.00608146574421342
"16","Tank_1",18.5144063822513,"98","15",1,-0.0920524412174069
"17","Tank_2",22.1756928192165,"98","15",1,-0.0136850362030203
"18","Tank_3",21.8286974618035,"98","15",1,-0.0205344115325463
"19","Tank_4",24.7389874114708,"98","15",1,0.0338196863327034
"20","Tank_5",19.4864205742712,"98","15",1,-0.0698301616015313
"21","Tank_6",22.8179770846022,"98","15",1,-0.00128509362203166
"22","Tank_7",21.2298559170153,"98","15",1,-0.0326151865666378
"23","Tank_8",26.2358985722648,"98","15",1,0.0593337099861053
"24","Tank_1",21.1585584110067,"98","15",2,-0.00993542246957957
"25","Tank_2",27.2804667266155,"98","15",2,0.100430298955443
"26","Tank_3",28.0479292035548,"98","15",2,0.112479305338262
"27","Tank_4",17.4233564523868,"98","15",2,-0.0942896755559464
"28","Tank_5",21.8404598131215,"98","15",2,0.00384028024860505
"29","Tank_6",18.8971595096342,"98","15",2,-0.0590249682647113
"30","Tank_7",21.5031224401227,"98","15",2,-0.00291996937467687
"31","Tank_8",26.405268184374,"98","15",2,0.0862690855469641
"32","Tank_1",28.2399386958343,"190","15",1,0.0419388942975427
"33","Tank_2",28.8131210619713,"190","15",1,0.0506654486761802
"34","Tank_3",28.2134563060757,"190","15",1,0.0415314376128566
"35","Tank_4",27.5906518650463,"190","15",1,0.0318371060697198
"36","Tank_5",32.2705441008095,"190","15",1,0.0998814326293287
"37","Tank_6",26.3454971396352,"190","15",1,0.0117815428218808
"38","Tank_1",19.4677772172624,"190","15",2,-0.0954677515548954
"40","Tank_3",30.9149649923641,"190","15",2,0.105384639812847
"41","Tank_4",21.1385584064952,"190","15",2,-0.0597087529820475
"42","Tank_5",18.7688091300142,"190","15",2,-0.111347401469778
"43","Tank_6",18.5475915459739,"190","15",2,-0.116496595913636
"44","Tank_1",24.7243230242502,"20","20",1,-0.0185841134369407
"45","Tank_2",25.2849123447679,"20","20",1,-0.00884707006619978
"46","Tank_3",27.6581969650246,"20","20",1,0.0301153426158511
"47","Tank_4",19.4582091885499,"20","20",1,-0.12260565443513
"48","Tank_5",24.2539420526691,"20","20",1,-0.0269261868460269
"49","Tank_6",24.328020036411,"20","20",1,-0.0256017576496912
"50","Tank_7",25.2033324755179,"20","20",1,-0.0102505539072393
"51","Tank_8",28.924223092101,"20","20",1,0.0495531801133775
"52","Tank_1",20.999367078621,"20","20",2,-0.0653615811131836
"53","Tank_3",24.5993600085484,"20","20",2,0.00335602198983054
"54","Tank_4",25.9569772828915,"20","20",2,0.0266863306276408
"55","Tank_5",34.1050460224983,"20","20",2,0.145250853519909
"56","Tank_7",21.0191102653293,"20","20",2,-0.0649534579152204
"57","Tank_8",29.9044922500808,"20","20",2,0.0881686465030151
"58","Tank_1",24.8406777405556,"98","20",1,-0.0295557483821192
"59","Tank_2",21.6602393198359,"98","20",1,-0.089055938368118
"60","Tank_3",25.9671228966057,"98","20",1,-0.0102953557540617
"61","Tank_4",32.6444816116834,"98","20",1,0.0890905873588896
"62","Tank_5",28.514034522193,"98","20",1,0.0303394819511724
"63","Tank_6",23.6894028924761,"98","20",1,-0.0501650749477756
"64","Tank_7",25.201630293157,"98","20",1,-0.0232905529254335
"65","Tank_8",31.3315309223636,"98","20",1,0.0712624267918953
"66","Tank_1",29.6997835243401,"98","20",2,0.0721748307934111
"67","Tank_2",28.5994734641814,"98","20",2,0.0557795844934277
"68","Tank_3",22.127533031744,"98","20",2,-0.0556454553204675
"69","Tank_4",23.6263373244869,"98","20",2,-0.0271820527503099
"70","Tank_5",26.8786569262005,"98","20",2,0.0288291110284746
"71","Tank_6",22.698878633303,"98","20",2,-0.0445740502811993
"72","Tank_7",25.2472737408034,"98","20",2,0.00163603580917293
"73","Tank_8",24.0563992871434,"98","20",2,-0.0193478294969585
"74","Tank_1",25.525318334708,"190","20",1,-0.0427829914437843
"76","Tank_3",32.6498982000815,"190","20",1,0.0641276730488027
"78","Tank_5",30.6301377180607,"190","20",1,0.0363947910023175
"79","Tank_6",32.0454643981608,"190","20",1,0.0560124112305163
"81","Tank_3",21.0059639906648,"190","20",2,-0.103270805735142
"82","Tank_4",24.0973033565455,"190","20",2,-0.0436449774537773
"83","Tank_5",25.8903901262853,"190","20",2,-0.0124748277987297
"84","Tank_6",29.5973037479322,"190","20",2,0.0456387271497978
